TF,target,importance
FIZ1,SLC29A4,12.761234166691587
POU2F1,LRRC58,12.756940226650428
ZNF552,QRSL1,12.738182411281885
ZNF683,CORO7,12.716353545266335
GADD45A,NAPA-AS1,12.682133398935875
CREBZF,MATR3-1,12.672263439956938
FOSB,RP11-960L18.1,12.653676324588238
ZNF600,KLF2,12.643311044931131
ZNF600,SLAMF7,12.58994719027191
TBP,MAP3K11,12.58290536512385
CENPB,SEC24C,12.559651268182707
ELF1,GOLGA8A,12.547389886305108
E2F5,CHST7,12.543110198411112
ZNF626,SH3D21,12.525976617840223
ZNF26,VPS13B,12.525809598246024
XRCC1,CCL28,12.517451948166906
ZNF33A,CYP46A1,12.517043008372925
ZZZ3,AK9,12.507348761364339
ZNF800,TMEM121,12.496977902006892
CENPB,SPECC1L,12.474655392892128
ZFP90,SGSM3,12.466954353866553
XRCC1,KRT2,12.457418687193343
KDM4C,HCG18,12.444633319437868
KLF2,CDSN,12.433335525445337
ZNF652,LILRB3,12.423028465149603
E2F5,FAM63B,12.415384212150068
ZNF528,HIST1H2BN,12.402125923552289
ZSCAN31,PAN3,12.363478392942492
TOB2,RP11-488L18.8,12.35883231449268
ZNF781,CYP46A1,12.357180467346353
U2AF1,HCG18,12.353381218869572
KLF2,RP11-357H14.17,12.341447079811232
FOSB,CD1E,12.31737132916576
CREBZF,ZNF224,12.302123038313505
PPP1R10,ZNF195,12.283292133353672
FLI1,ZNF800,12.281816181916138
NPDC1,FAM65B,12.27946639765208
ELF1,SH3D21,12.276132711868668
IKZF3,ZCCHC6,12.269678887701179
CFL2,DIEXF,12.244859851564206
ZNF528,RMRP,12.236002170519235
ARFGAP1,RNF125,12.225305616666775
ZNF600,KRT15,12.219280993169233
R3HDM2,RP11-467L13.7,12.207909048280799
SNAI3,NEK5,12.161910169059547
ZNF672,SLC38A10,12.139061115263283
CENPB,KHDC1,12.12703698293249
ZNF626,SLC17A5,12.124442116884044
CEBPE,WDR4,12.121730077708857
POU2F1,BLOC1S5,12.112380145660078
ZNF224,SPATC1L,12.09714074503027
ING3,CCL4,12.091789094861243
WRNIP1,COX7A1,12.08467885554824
ZBTB49,MYSM1,12.082753648888835
CENPB,GOLGA8A,12.062974842658805
KLF2,TBK1,12.062712963574732
ZNF251,IPO4,12.059088742897432
ZNF430,MAP4K4,12.053392434322951
R3HDM2,TRIM56,12.051214860709909
PHF21A,SPATC1L,12.026977120718977
WISP2,WRNIP1,11.99422375612739
FANK1,PAN3,11.988422808281996
KLF2,JAKMIP2,11.987534837024231
ZNF652,RSBN1,11.986289573070028
ZNF26,CD1A,11.982949948456001
ZSCAN31,NPAT,11.980594664306976
ZNF33A,NUMB,11.946137830051413
ZNF195,TMEM147-AS1,11.941681448906856
KDM4C,LENG8,11.932725299463085
TCF7,APPL1,11.917584249427883
NFATC2,HIST1H3H,11.91221883749516
ELF1,ATAD3C,11.901119214075187
HIST2H2BE,BLOC1S5,11.893370946259019
CHD1,C2orf47,11.882494296507044
ELF1,ZNF800,11.859176534979946
ZNF320,EDEM1,11.85243365396576
FLI1,ZNF793-AS1,11.8347240105026
HOXB2,RP11-367G6.3,11.827863911613731
CENPB,DUSP18,11.82361453679967
